run_accession	sample_accession	sample_title	library_strategy	library_layout	instrument_platform	fastq_ftp	fastq_bytes
ERR8314272	SAMEA12813605	AD0751_T1099	WXS	PAIRED	ILLUMINA	ftp.sra.ebi.ac.uk/vol1/fastq/ERR831/002/ERR8314272/ERR8314272_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR831/002/ERR8314272/ERR8314272_2.fastq.gz	1045370843;1054667508
ERR8314274	SAMEA12813607	AD0796_T1123	WXS	PAIRED	ILLUMINA	ftp.sra.ebi.ac.uk/vol1/fastq/ERR831/004/ERR8314274/ERR8314274_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR831/004/ERR8314274/ERR8314274_2.fastq.gz	1036860708;1077136920
ERR8314283	SAMEA12813616	AD0767_T959	WXS	PAIRED	ILLUMINA	ftp.sra.ebi.ac.uk/vol1/fastq/ERR831/003/ERR8314283/ERR8314283_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR831/003/ERR8314283/ERR8314283_2.fastq.gz	1561536952;1622774198
ERR8314264	SAMEA12813597	AD0795_B1123	WXS	PAIRED	ILLUMINA	ftp.sra.ebi.ac.uk/vol1/fastq/ERR831/004/ERR8314264/ERR8314264_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR831/004/ERR8314264/ERR8314264_2.fastq.gz	1035467959;1053108853
ERR8314284	SAMEA12813617	AD0763_T999	WXS	PAIRED	ILLUMINA	ftp.sra.ebi.ac.uk/vol1/fastq/ERR831/004/ERR8314284/ERR8314284_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR831/004/ERR8314284/ERR8314284_2.fastq.gz	1752930233;1815880782
ERR8314266	SAMEA12813599	AD0798_B785	WXS	PAIRED	ILLUMINA	ftp.sra.ebi.ac.uk/vol1/fastq/ERR831/006/ERR8314266/ERR8314266_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR831/006/ERR8314266/ERR8314266_2.fastq.gz	732036745;745517485
ERR8314267	SAMEA12813600	AD0806_B937	WXS	PAIRED	ILLUMINA	ftp.sra.ebi.ac.uk/vol1/fastq/ERR831/007/ERR8314267/ERR8314267_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR831/007/ERR8314267/ERR8314267_2.fastq.gz	1718071241;1701038226
ERR8314273	SAMEA12813606	AD0753_T1103	WXS	PAIRED	ILLUMINA	ftp.sra.ebi.ac.uk/vol1/fastq/ERR831/003/ERR8314273/ERR8314273_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR831/003/ERR8314273/ERR8314273_2.fastq.gz	1293745049;1314443696
ERR8314275	SAMEA12813608	AD0766_T748	WXS	PAIRED	ILLUMINA	ftp.sra.ebi.ac.uk/vol1/fastq/ERR831/005/ERR8314275/ERR8314275_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR831/005/ERR8314275/ERR8314275_2.fastq.gz	2904869176;3046210873
ERR8314277	SAMEA12813610	AD0799_T785	WXS	PAIRED	ILLUMINA	ftp.sra.ebi.ac.uk/vol1/fastq/ERR831/007/ERR8314277/ERR8314277_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR831/007/ERR8314277/ERR8314277_2.fastq.gz	593649992;628118930
